,PORT_NAME,INDEX_NO,coords
2050,Port of Mumbai,,"((72.94021468458291, 18.916789996),)"
2052,DURBAN,46850.0,"((31.083391138778502, -29.858009526506066),)"
2053,Unknown,,"((22.13236609640667, -34.15637210011482),)"
2054,Unknown,,"((18.43275644900111, -33.839550367),)"
2055,TAURANGA,55080.0,"((176.15197503503998, -37.645385982468724),)"
2057,MINA ABD ALLAH,48360.0,"((48.23142984625, 29.007277786),)"
2061,Keihin Port,,"((139.66683872528944, 35.35732816904783),)"
2062,Unknown,,"((139.7321133523692, 35.439575468190014),)"
2063,KAWASAKI KO,61385.0,"((139.7179489412796, 35.44816138688475),)"
18446,C,,"((24.150242528702265, 59.8815939945),)"
2065,SAKAI-SENBOKU,61547.0,"((135.4056141747043, 34.53283534850925),)"
2064,Yokosuka Port,,"((139.6778323687613, 35.30831951647997),)"
2067,Kobe Ku,,"((135.2489523452855, 34.67445824760944),)"
2069,Grand Port Maritime de Nantes-Saint-Nazaire Harbour District,,"((-2.3321657040540815, 47.170134996499996),)"
2070,Nantes-Saint-Nazaire Harbour District,,"((-2.235550752044261, 47.241490012966096),)"
2071,Grand Port Maritime de Bordeaux District,,"((-0.5485333700973443, 44.940100028179586),)"
2072,Unknown,,"((-1.2451939327493204, 46.1616513133049),)"
2073,District of Grand Port Maritime de Rouen,,"((-0.15051175518372897, 49.4879100095),)"
2075,PORT KLANG,,"((101.2609682435, 2.847290094),)"
2076,LUMUT PORT LIMIT,,"((100.53590136345218, 4.199986774),)"
2077,LUMUT MARITIME TERMINAL HARBOUR LIMIT,,"((100.6084838786917, 4.229013933800161),)"
2078,PULAU PINANG,49850.0,"((100.34536084307302, 5.391523260623217),)"
2079,Pulau Labuan Port,,"((115.1387668255, 5.2166667014999994),)"
2080,Unknown,,"((115.25977842374965, 5.261121466755867),)"
2081,Batangas Harbour Limit,,"((120.96107186, 13.708743536),)"
2082,Unknown,,"((11.86340827573151, 57.69124792423099),)"
2083,TILBURY,31430.0,"((0.45360165504840033, 51.48129627574235),)"
2084,Port of Milford Haven,,"((-5.19138731188753, 51.66819733567536),)"
2085,Port of Sheerness Limited,,"((0.6698085823661553, 51.41669493634254),)"
18466,F,,"((25.50948820743543, 60.012358430999996),)"
2087,Port of Southampton,,"((-1.2901981094718393, 50.82128937821835),)"
2088,Mina' Rashid Port,,"((55.216750265990214, 25.283282613381743),)"
2089,Ra´s Laffan Port Limit,,"((51.674503590239965, 25.91083763167262),)"
2090,BELFAST,33770.0,"((-5.889368748172213, 54.62636856827885),)"
2091,Port of Liverpool,,"((-3.298937180567674, 53.5224305135),)"
2092,Harbour and Port of Manchester,,"((-2.947479434348688, 53.32248570397496),)"
2094,Port of Cork Company Authority,,"((-8.355398365730416, 51.883173077367246),)"
2095,Americas Cup Harbor,,"((-117.1942126368084, 32.721915151923895),)"
2097,EAST LONDON,46830.0,"((27.935595251892853, -33.022414301522076),)"
18481,H,,"((26.45149732087454, 60.1487205125),)"
2099,Port Tuapse,,"((39.06905100923584, 44.06183071900159),)"
2100,Mina' Zayid Port,,"((54.3571851095, 24.5437475475),)"
2101,Oita Ko,,"((131.74428370760614, 33.26408393215388),)"
2102,MARMAGAO,48970.0,"((73.78624695818871, 15.426535299047828),)"
2103,PANAJI,48960.0,"((73.71506557120571, 15.469580353000001),)"
2104,Port of Kandla,,"((70.1258244125, 22.8346941705),)"
2098,DE KASTRI,60810.0,"((140.83933433227966, 51.46137001924217),)"
2107,MUNDRA,48617.0,"((69.83349191818533, 22.561356201000002),)"
2108,Port of Kamarajar,,"((80.36662839353085, 13.23888384271413),)"
2109,Port Dahej,,"((72.53583346922838, 21.63689522971426),)"
2110,Unknown,,"((-15.394649540782407, 28.130730874836445),)"
2111,Richards Bay,,"((32.119184313341975, -28.806122923269868),)"
2112,Port Mombasa,,"((39.69643747232773, -4.075975175946951),)"
2113,KASHIMA KO,61357.0,"((140.7279770176368, 35.93736077193171),)"
2114,Huludao Gang,,"((120.06209442547062, 40.07397101260722),)"
2116,Laizhou Gang,,"((119.95411394302218, 37.45490706525743),)"
2117,Qingdao Gang,,"((119.77836841769467, 35.539872441),)"
2121,Kuzi Gang,,"((120.88529710545052, 31.9205614965),)"
2124,Rugao Gang,,"((120.52499801865446, 32.073128521),)"
2125,NANTONG,59991.0,"((120.7998471116907, 31.992608103901148),)"
2127,Unknown,,"((120.63031668497854, 32.012924286),)"
2131,Nanjing Gang,,"((118.9453090896211, 32.17888596907467),)"
2132,Shenzhen Gang,,"((113.82701366866578, 22.47984797693789),)"
2133,Zhanjiang Gang,,"((110.44181108725155, 21.114799305),)"
2134,Yangpu Gang,,"((109.15550692030467, 19.7758939995),)"
2135,XIAMEN,57870.0,"((118.05102241850639, 24.472252009436488),)"
2136,PORTUL CONSTANTA,,"((28.65955563883096, 44.15620068088174),)"
2137,Lisboa Harbour,,"((-9.14980551088054, 38.69373764377087),)"
2138,SETUBAL,38000.0,"((-8.792063305154443, 38.46505334135145),)"
2139,BAHIA HERRADURA GUAYACAN,14560.0,"((-71.35716975359065, -29.974288484081626),)"
2140,Unknown,,"((39.129990214071036, 21.45386124495417),)"
2141,KHALIFA BIN SALMAN,48327.0,"((50.71686189814699, 26.124235731),)"
2142,Istanbul Port,,"((29.6597527475, 41.30261213),)"
2143,Sile Port,,"((29.328981100020712, 41.321946121),)"
2146,Unknown,,"((39.48660217328431, 15.615416248328984),)"
2147,CHIBA KO,61375.0,"((140.00340841533648, 35.52823152858764),)"
2148,Outer Harbour,,"((139.98951273197608, 35.564729981),)"
2149,Section 3,,"((136.8556054384792, 35.02793471328914),)"
2150,Section 4,,"((136.84020536979983, 35.05864977836609),)"
2151,Section 5,,"((136.81285712679045, 34.963242849335074),)"
2153,Unknown,,"((136.6849346451589, 34.96023303363472),)"
2154,NISHIHARA,62497.0,"((127.81815209425986, 26.22905700467527),)"
2155,Unknown,,"((126.35923290814455, 34.77128100581467),)"
2157,Unknown,,"((112.98682356471355, 3.2906999805000003),)"
2158,Unknown,,"((14.482931736856699, -22.897216421552002),)"
2160,OTAGO HARBOR,55370.0,"((170.69075141630137, -45.79471103847027),)"
2161,SYDNEY,53650.0,"((151.3213790391007, -33.834300194866955),)"
2162,BOTANY BAY,53655.0,"((151.26576480367862, -34.00391798000783),)"
2164,SALDANHA BAY,46750.0,"((17.97768135367545, -33.05058981757611),)"
2165,Unknown,,"((173.23268114222543, -41.244208915),)"
2166,DAMIETTA PORT,,"((31.760764349586346, 31.46432189270854),)"
2167,PORT DE COMMERCE,,"((-4.466200601422965, 48.37842996697873),)"
2168,Port autonome de Nouméa,,"((166.42628133614173, -22.262319987639785),)"
2169,KHARG ISLAND OIL TERMINAL,48465.0,"((50.34934523717312, 29.228587858378887),)"
2170,Unknown,,"((50.27941353052078, 29.235160066746175),)"
2171,Port of Newcastle,,"((151.76994740572474, -32.88383897859603),)"
2172,Maritime Port Murmansk,,"((33.10087616068919, 69.06160031910986),)"
2173,Port Arkhangel'sk,,"((40.63861369444581, 64.68400432728231),)"
2174,Port Primorsk (Section 1),,"((28.728279073768313, 60.30589662026614),)"
2175,Port Novorossiysk,,"((37.76282222941518, 44.63307204656303),)"
2177,Port Taman',,"((36.60850999300124, 45.08437336888164),)"
2178,Water Area of Maritime Port Kavkaz,,"((36.5521299350909, 45.172366043552756),)"
2179,NAKHODKA,60730.0,"((132.92453388033897, 42.78547804802656),)"
2180,VOSTOCHNYY,60725.0,"((133.0085502628708, 42.75487207341939),)"
2181,Odesa Port,,"((30.744834388315546, 46.498402864672244),)"
2182,PUERTO DE BILBAO,37400.0,"((-3.0673395847039027, 43.365845759399235),)"
2183,ROTA,38280.0,"((-6.323084869935835, 36.57512109261006),)"
2184,MEJILLONES,14670.0,"((-70.43998935905984, -23.063125130720437),)"
2185,KARWAR,48990.0,"((74.08313077906908, 14.83035902492702),)"
2186,New Plymouth,,"((174.02940424042527, -39.04865403659642),)"
2187,Lyttelton,,"((172.76469152667238, -43.61108297947794),)"
2188,CARTAGENA,38430.0,"((-1.0337803234236416, 37.56840352434665),)"
2189,Harbour Limit Hamburg,,"((9.925321217632899, 53.51000300050001),)"
2190,Ports of Bremen,,"((8.74636582953367, 53.105649807999995),)"
2191,PORT BONYTHON,54325.0,"((137.7381440144199, -33.0129797145),)"
2193,Mesaieed Port Limit,,"((51.737588932250006, 25.030264975),)"
2194,Unknown,,"((-89.6875172845, 21.354691008499998),)"
2195,Jinzhou Gang,,"((121.05996747921716, 40.7611613435),)"
2196,Qinzhou Gang,,"((108.57264453611637, 21.7093680145),)"
2197,CAIRNS,53340.0,"((145.79739584058268, -16.8874847605),)"
2198,Unknown,,"((174.53902477437748, -35.8652322315),)"
2199,Bei Gangqu,,"((121.27241327393972, 39.5829654945),)"
2200,Zhuhai Gang,,"((113.18420910840698, 21.9220539875),)"
2201,PUERTO SARA,14090.0,"((-70.1645670859719, -52.6229085955),)"
2202,Unknown,,"((-70.6333223725, -26.34931066),)"
2203,PUERTO CALDERA,14630.0,"((-70.82655476082338, -27.050550612000002),)"
2204,Unknown,,"((-76.82723990792479, 17.945429803499998),)"
2206,Unknown,,"((126.75094920011003, 37.011041748),)"
2207,GWANGYANG HANG,60376.0,"((127.80130381875, 34.880778291),)"
2208,Unknown,,"((127.69169082125, 34.8781563895),)"
2209,GOVE,54675.0,"((136.66681350875, -12.212359998),)"
2210,DAMPIER,54605.0,"((116.74293161322751, -20.5074461825),)"
2211,Port of Gladstone,,"((151.41318819929728, -23.862547259),)"
2212,Huizhou Gang,,"((114.62711879231053, 22.696287994499997),)"
2214,AIN SUKHNA TERMINAL,48055.0,"((32.528621466975956, 29.908353625796735),)"
18598,PNR-Nord,,"((11.76222216775, -4.730226849),)"
2216,KERTIH HARBOUR LIMIT,,"((103.51283886542242, 4.588462505),)"
2217,Humber Port,,"((0.047753337, 53.583918940000004),)"
2215,Unknown,,"((101.74215491904911, 2.537679439),)"
2219,ASHQELON,45110.0,"((34.50351081564136, 31.6520453005),)"
2220,Port Darwin,,"((130.83454045544443, -12.4823192225),)"
2218,Sullom Voe,,"((-1.2530834986468178, 60.54706803),)"
2222,Huanghua Gang,,"((117.9756831442495, 38.36797351),)"
2223,Dongying Gang,,"((118.94967675327666, 38.1377999945),)"
2224,Jiaxing Gang,,"((121.09797171273087, 30.559917935170233),)"
2225,JAZIREH-YE LAVAN OIL TERMINAL,48480.0,"((53.345785362092386, 26.785872196),)"
2226,Sirri Oil Terminal,,"((54.563068600623616, 25.893295314),)"
2227,Kemaman Port Harbour,,"((103.5041325835, 4.228307045499999),)"
18612,Mouillage de Souellaba,,"((9.544662490241718, 3.8948899829999997),)"
2228,TUTICORIN,49320.0,"((78.24336462546005, 8.7673695055),)"
2230,Sines Harbour,,"((-8.90629928915006, 37.948169379),)"
2229,WELLINGTON,55150.0,"((174.84708405626643, -41.270730262),)"
2232,ZHOUSHAN,59960.0,"((122.0979375873847, 29.9947030275),)"
2231,Ximatou Gang,,"((122.15160829620008, 30.118135017999997),)"
2234,Shenjiamen Xigangqu,,"((122.25076813168445, 29.955255989),)"
2235,Zhitou Gang,,"((122.10953672356412, 29.806969309499998),)"
2236,CHITTAGONG,49590.0,"((91.74752778449405, 22.231495664),)"
18621,No 2,,"((11.936036232734553, 54.2120292175),)"
18620,No 1,,"((11.99583354591158, 54.232190167),)"
2239,Port of Magdalla,,"((72.5545570142938, 21.0582285835),)"
2240,Putian Gang,,"((118.97360891290052, 25.211772699),)"
2237,Unknown,,"((171.30455604475, -44.387004263),)"
2242,AZ ZAWIYA,45335.0,"((12.700055481, 32.824212717500004),)"
2243,Unknown,,"((174.8470030025079, -36.720617101),)"
2244,Port of Broome,,"((122.27361387002496, -17.9904619555),)"
2245,Sillamäe,,"((27.754591085089572, 59.417058904499996),)"
2246,JAKARTA,50970.0,"((106.87447248425, -6.02459575),)"
2247,SUNGAIPAKNING,50805.0,"((102.17021762904221, 1.3468832845),)"
2248,Unknown,,"((115.53133495825, -8.520642150499999),)"
2249,Gaogang Gang,,"((119.82961985219477, 32.289131004),)"
2250,GEBZE,44622.0,"((29.262852478462463, 40.783816957499994),)"
2251,MUBARRAZ OIL TERMINAL,48268.0,"((53.553716704466126, 24.435598155999998),)"
2252,Port of Muhammad Bin Qasim,,"((67.09298607662225, 24.6190519485),)"
2253,Unknown,,"((11.119774799526269, 33.487332612),)"
2254,Ad Dammam Port,,"((50.208966487163465, 26.554335909499997),)"
2255,RAS  TANNURAH,48340.0,"((50.205069189725066, 27.028653435000003),)"
18641,Elbe Approach Reede,,"((7.75333333475, 54.076666636),)"
2257,Port of Hobart,,"((147.39620851525, -42.902195881500006),)"
2259,Colombo Port,,"((79.74994361374999, 6.9415885295),)"
18644,Neue Weser N - Reede,,"((7.8225833405, 53.909891699),)"
2261,KUANTAN HARBOUR LIMIT,,"((103.4654574135, 3.9000617845),)"
2260,Port Prigorodnoye,,"((142.91864368745652, 46.5983403375),)"
18648,Außenelbe-Reede,,"((8.153705673852071, 54.0438421815),)"
18649,Neuwerk-Reede,,"((8.508211006156905, 53.966183345),)"
2266,ALOTOA,53165.0,"((150.44573480116404, -10.319550200365484),)"
2264,Port of Wyndham,,"((128.15568600393016, -15.106638874772884),)"
18656,Freiburg-Reede,,"((9.32860544866723, 53.840233348),)"
2273,GREAT YARMOUTH PORT AUTHORITY,,"((1.7469964020523694, 52.58447316940874),)"
18659,Neufeld-Reede Ost,,"((9.071113121378765, 53.8856830545),)"
18662,Krautsand-Reede,,"((9.392885388899018, 53.763165017),)"
2282,EDEN,53810.0,"((149.92103433743165, -37.080277358000004),)"
2283,Nanaimo,,"((-123.90600187203916, 49.175603524781764),)"
2284,CHICOUTIMI (PORT SAGUENAY),2130.0,"((-70.79694643802709, 48.410770031),)"
18674,Schilligreede Süd,,"((8.079326404466212, 53.714293450499994),)"
2292,Unknown,,"((131.86404489421705, 33.25377515517175),)"
18677,Quarantäne-Reede,,"((8.060256434912134, 53.7081821215),)"
18678,Wanger-Reede,,"((8.075452198986511, 53.677400000999995),)"
2297,Port of Abbot Point,,"((148.35273668808156, -19.989993581),)"
2299,Port of Lorengau,,"((147.33619268557015, -2.000195765),)"
2300,Port de Bayonne,,"((-1.4937521585201432, 43.5113705182448),)"
2302,harbour limit Emden,,"((7.202197092420959, 53.34666883572936),)"
2303,Porto Canale o Industriale,,"((9.085120138883, 39.17494454886764),)"
2305,MANILA,58370.0,"((120.94548928495536, 14.511213621752168),)"
2308,FELIXSTOWE,31560.0,"((1.2248981073352954, 52.0009532335),)"
18695,Delta Zone,,"((9.0225166705, 44.349630695),)"
2311,SUNDERLAND,31760.0,"((-1.3513929703518874, 54.919047905132174),)"
18700,,,"((10.287148004499999, 43.496278859),)"
18706,A,,"((11.760344049053566, 42.0745366295),)"
18707,B,,"((11.7746355355, 42.0552297955),)"
2323,PRINCE RUPERT,18950.0,"((-130.24778545434475, 54.279169351793826),)"
2325,YANTAI,60160.0,"((121.45024526427824, 37.557750502601266),)"
18708,ALFA,,"((12.118026138831098, 41.791482232),)"
2327,Quanzhou Gang,,"((118.80698836156026, 24.864344489),)"
2329,Shanwei Gang,,"((115.3139528938937, 22.768216249532998),)"
2330,YANTIAN,57857.0,"((114.36327659588216, 22.579286978),)"
18717,Zona C,,"((14.435880446750001, 40.74054932200001),)"
2337,STRAUMSVIK,75.0,"((-22.054060928767488, 64.06059143599123),)"
2342,HUASCO,14610.0,"((-71.23529690283087, -28.45685748383403),)"
2344,Nishi Ku,,"((144.3074649481957, 42.997384294867516),)"
18729,,,"((13.542653323495436, 43.7174197),)"
2345,Outer Harbour,,"((144.32977591137399, 42.986784959211946),)"
2346,Unknown,,"((143.3369705121272, 42.29174070060253),)"
2348,EASTERN PART OF NIIGATA-KO,61875.0,"((139.22181580681354, 37.99255401827395),)"
2349,Outer Harbour,,"((139.136115445, 37.9925397685),)"
2352,NOSHIRO KO,61277.0,"((139.98708912564445, 40.202236217446625),)"
2355,Hitachinaka Ko,,"((140.63317937662563, 36.40831945929676),)"
2356,ISHINOMAKI KO,61340.0,"((141.33427140446213, 38.40494407340884),)"
2359,Unknown,,"((140.97115319759087, 37.84882374107838),)"
2362,Outer Harbour,,"((137.11690878029913, 36.79232336115092),)"
18747,Zona Hotel,,"((9.152145841500001, 39.127279766499996),)"
2363,SHIMMINATO,61855.0,"((137.11517606580003, 36.76705250982195),)"
2367,HIROHATA,61564.0,"((134.628473642127, 34.75875249132514),)"
2369,SHIKAMA,61566.0,"((134.66047222443717, 34.76383691187948),)"
2374,Niihama Ku,,"((133.24197138952394, 33.978250958025455),)"
2378,Section 1,,"((133.25485012767334, 34.41614035516977),)"
2379,Unknown,,"((133.1844954649926, 34.39861962106079),)"
2380,KUDAMATSU,61675.0,"((131.8872610037215, 33.97322751581669),)"
2382,KOCHI KO,61970.0,"((133.5565268791214, 33.52490084711462),)"
2383,Unknown,,"((131.68705396181184, 32.44321909267455),)"
2385,Unknown,,"((136.05564359856663, 35.68470816593617),)"
2391,Unknown,,"((126.21715025836895, 36.91174582578242),)"
2393,Unknown,,"((128.0825704290948, 34.913295968435705),)"
2394,Bangkok (Krung Thep),,"((100.58846131642144, 13.4490844975),)"
2395,Krung Thep (Bangkok),,"((100.58513146228154, 13.58222319278866),)"
2396,PIPAVAV BANDAR,48730.0,"((71.53884572280519, 20.926484637893736),)"
2402,Section 4,,"((139.82501290948233, 35.596721400506794),)"
2403,Tokyo Ku,,"((139.8018963234775, 35.60308955144137),)"
2405,PORT WALCOTT,54600.0,"((117.34096600095981, -20.604892219416797),)"
2406,THURSDAY ISLAND,53300.0,"((142.24978368868437, -10.57255509775132),)"
2407,Port of Kavieng,,"((150.77996847324223, -2.5883559230715036),)"
2408,Kavieng Harbor,,"((150.746721904, -2.619745689),)"
2409,Port of Rabaul,,"((152.16620550490916, -4.234141982160509),)"
2414,ORTONA,40620.0,"((14.416816899165234, 42.35175759997219),)"
2416,LONDONDERRY,33830.0,"((-7.10387403525, 55.0901467725),)"
2418,Londonderry Outer Pilotage Area,,"((-6.887941999903116, 55.226459065),)"
2423,NEWPORT,35015.0,"((-2.988957733872784, 51.55932756140828),)"
2425,Ajman Port Limit,,"((55.447174321494046, 25.43330422124326),)"
2433,KAGOSHIMA KO,62220.0,"((130.5714819911567, 31.52778496965766),)"
2434,Taniyama Ku,,"((130.52766438991557, 31.489687920548022),)"
6997,,,"((-8.726390127473362, 33.106007500000004),)"
2439,POS'YET,60540.0,"((130.81085759952242, 42.62174880132079),)"
2441,Unknown,,"((9.89867362277359, 57.05914144869894),)"
2446,Port of Karaikal,,"((79.90441316545379, 10.849150442518294),)"
2447,Port of Nagapattinam,,"((79.9017785589902, 10.8128502635),)"
2450,Port of Dhamra,,"((86.9878503587097, 20.83653164561838),)"
2457,GEORGETOWN,12370.0,"((-58.17383213989295, 6.819602041505277),)"
2458,KISARAZU KO,61372.0,"((139.8108422040744, 35.37190006580204),)"
2459,Unknown,,"((139.8401666725288, 35.4128625523299),)"
2460,KINUURA KO,61470.0,"((136.95160618769114, 34.86332742031664),)"
2463,HIGASHI-HARIMA,61568.0,"((134.80048868608, 34.71943541429937),)"
2464,Unknown,,"((133.92751535419399, 34.45560155902058),)"
2465,UNO KO,61580.0,"((133.96284606576813, 34.49123537633568),)"
2467,Section 3,,"((132.37767840502784, 34.33429203461856),)"
2475,POHANG,60410.0,"((129.4530776557019, 36.03606769815087),)"
2476,Unknown,,"((129.45708657839103, 36.078595044091344),)"
2478,TAKORADI,46040.0,"((-1.7230705108788829, 4.8999083787202835),)"
2479,ALBANY,54470.0,"((117.98723544209832, -35.052980007603765),)"
2482,YURA,61541.0,"((135.08791979292135, 33.95106454845518),)"
2483,Port of Weipa,,"((141.70613983927745, -12.70133868791163),)"
2487,CASTRIES,11630.0,"((-61.01328245268729, 14.020433952100575),)"
2488,Unknown,,"((174.65213408528916, -38.174365502782166),)"
2489,Ports of Bremen,,"((8.551791724011215, 53.1807813325),)"
2493,Clydeport Authority,,"((-4.451438056227003, 55.9121639975),)"
2494,Port of Barry,,"((-3.257955115832405, 51.374300904),)"
2495,Baie des Ha! Ha!,,"((-70.789229229, 48.353765503999995),)"
2496,Port Alberni,,"((-125.00483690724197, 48.956327908000006),)"
2500,Hadera Port,,"((34.85814027534518, 32.4756233205),)"
2506,Harbour Limit,,"((8.514560226923981, 53.204558025500006),)"
2508,PORTSMOUTH HARBOUR,35600.0,"((-1.0999724527948629, 50.694132805500004),)"
2509,TYNEMOUTH,31765.0,"((-1.396746015094064, 55.001816726),)"
2512,PORT TALBOT,34980.0,"((-3.8298324184164945, 51.571966674500004),)"
2518,Unknown,,"((126.47379233280967, 36.344860447),)"
2523,DA NANG,57650.0,"((108.17991905376934, 16.106156896999998),)"
2524,Shannon Foynes Port Company,,"((-9.811221166715303, 52.499272171),)"
2527,BURNIE,54880.0,"((145.93119205844755, -41.0374300035),)"
2531,Maritime Port Sabetta (Section 1),,"((72.46540242558791, 71.325434935),)"
2533,TANANGER,23487.0,"((5.5874822867705305, 58.926895),)"
2534,etajima,,"((132.485798648374, 34.199515),)"
2535,riverhead,,"((-72.62787403315727, 40.993215),)"
2536,etame offshore terminal,,"((10.52030731699065, -3.759645),)"
2537,madang,,"((145.80330954973786, -5.212289999999999),)"
2539,madura offshore,,"((112.945835, -6.844445),)"
2544,magadan,,"((150.58782936132036, 59.525965),)"
2548,magome,,"((129.63426191092583, 33.04894),)"
2549,faeringehavn,,"((-51.51094272058823, 63.684055),)"
2550,roseau,,"((-61.393870048030735, 15.310469999999999),)"
2552,rospo mare terminal,,"((14.933335, 42.2),)"
2554,rostock,,"((12.106293399404963, 54.141125),)"
2558,famagusta,,"((33.94435121212121, 35.130375),)"
2559,MAILIAO,57953.0,"((120.14464367580554, 23.778865),)"
2560,EUROPOORT,31085.0,"((4.077870782066508, 51.93522),)"
2561,fangcheng,,"((108.3533376946645, 21.569209999999998),)"
2563,maji shan,,"((122.42520987046511, 30.68092),)"
2564,rovigo terminal,,"((12.549973393131005, 45.06937),)"
2565,farwah offshore terminal,,"((12.03247497885835, 33.84983),)"
2566,majunga,,"((46.30514360278167, -15.729130000000001),)"
2568,FATEH OIL TERMINAL,48265.0,"((54.397168672207705, 25.44336),)"
2569,UJUNG PANDANG,52320.0,"((119.39137131607191, -5.12183),)"
2571,fawley,,"((-1.3510399538043445, 50.840334999999996),)"
2575,malabo,,"((8.776715214352283, 3.76185),)"
2578,MALAGA,38370.0,"((-4.420131428877463, 36.708395),)"
2585,MALMO,24210.0,"((12.992400213445173, 55.623625000000004),)"
2586,CHERRY POINT,18055.0,"((-122.71542696864111, 48.8319),)"
2587,malong offshore terminal,,"((104.828325, 4.546609999999999),)"
2588,ruwais port,,"((52.7204674796949, 24.144385),)"
2589,FERROL,37740.0,"((-8.212403109265928, 43.481854999999996),)"
2590,MALONGO OIL TERMINAL,46487.0,"((12.0721275, -5.4376),)"
2592,firenze offshore terminal,,"((18.182029999999997, 40.806129999999996),)"
2594,manaus,,"((-59.95859581065503, -3.1305300000000003),)"
2595,SOKHNA PORT GAS TANKER TERMINAL,48035.0,"((32.40963518385055, 29.656740627),)"
2596,SAFI,45797.0,"((-9.258935180867645, 32.290555),)"
2599,OGUENDJO TERMINAL,46446.0,"((8.727051769521042, -1.17219),)"
2600,fiumicino,,"((12.173345458651848, 41.75847),)"
2601,mangalia,,"((28.570512395820078, 43.801355),)"
2602,SAGUNTO,38490.0,"((-0.2175655151094663, 39.64322),)"
2603,floro,,"((5.066812444520313, 61.60756),)"
2605,CAT LAI,57575.0,"((106.75700399098258, 10.700244999999999),)"
2606,flotta,,"((-3.117618716690041, 58.852940000000004),)"
2609,fluminense fpso offshore,,"((-40.425, -22.636665),)"
2610,ABERDEEN,32220.0,"((-2.0405051463414656, 57.153375),)"
2611,FORCADOS OIL TERMINAL,46161.0,"((5.1768350000000005, 5.17446),)"
2614,PORT BOUET,45990.0,"((-4.029618653353435, 5.27979),)"
2616,aboadi offshore terminal,,"((-1.6233556232418325, 4.9440349999999995),)"
2618,saipan,,"((145.72991405635986, 15.24824),)"
2619,PORTO DE MUCURIPE,12650.0,"((-38.47876248818898, -3.70934),)"
2620,MANTA,15310.0,"((-80.69801022097626, -0.931845),)"
2621,saizaki,,"((133.04329307513916, 34.334365000000005),)"
2622,abo offshore terminal,,"((4.444227640013178, 5.738035),)"
2623,FORT DE FRANCE,11550.0,"((-61.14607461803192, 14.650605),)"
2624,manzanillo,,"((-104.2964673137806, 19.04005),)"
2625,FOS,38775.0,"((4.89108309428962, 43.40762),)"
2626,maojia,,"((121.67467202552808, 32.091955),)"
2629,SAKAI KO,61750.0,"((133.28848726678592, 35.487305),)"
2630,maputo,,"((32.571100798693614, -25.980385),)"
2632,frade offshore,,"((-39.858335, -21.883335),)"
2633,SAKATA KO,61900.0,"((139.79704174270472, 38.941955),)"
2635,ACAJUTLA,15640.0,"((-89.83524467789599, 13.575685),)"
2637,saladin marine terminal,,"((115.02483831718422, -21.42406),)"
2639,acapulco,,"((-99.8715825597071, 16.83755),)"
2640,salaverry,,"((-79.0039445983501, -8.214735000000001),)"
2641,MARIN,37860.0,"((-8.698029421128805, 42.4034),)"
2643,fredericia,,"((9.748885497835495, 55.55625),)"
2644,MARIUPOL,44010.0,"((37.55093318349233, 47.061815),)"
2646,LA CORUNA,37770.0,"((-8.386502691360787, 43.365375),)"
2647,BOTAS NATURAL GAS TERMINAL,44542.0,"((27.980639501697254, 40.97987),)"
2648,SALINA CRUZ,15730.0,"((-95.20490819948186, 16.16185),)"
2649,acu,,"((-40.97531568024888, -21.809784999999998),)"
2650,fredrikstad,,"((10.961775980509149, 59.188265),)"
2652,BESHAYER OIL TERMINAL,47944.0,"((37.29863266514482, 19.5722750245),)"
2653,adang bay,,"((116.57135573397855, -1.71533),)"
2654,freeport,,"((-78.76244240962146, 26.515230000000003),)"
2656,AL BURAYQAH,45295.0,"((19.580747504002847, 30.440865000000002),)"
2657,FREEPORT,9250.0,"((-95.36129045293796, 28.979705),)"
2659,freetown,,"((-13.195114995709382, 8.486405),)"
2661,marseille,,"((5.339177316137766, 43.32425),)"
2662,agadir,,"((-9.634025366268496, 30.424895),)"
2663,fsts boca grande ii,,"((-61.58265852626211, 9.946365),)"
2666,agbami offshore terminal,,"((5.55802540033017, 3.478625),)"
2667,fujairah,,"((56.4641925, 25.21154),)"
2669,MASAN,60380.0,"((128.58434629646902, 35.184870000000004),)"
2672,samarinda muara berau offshore,,"((117.62688918299635, -0.27966),)"
2673,agio theodoroi,,"((23.074756805194816, 37.91937),)"
2674,FUKUYAMA,61605.0,"((133.44905746376813, 34.448),)"
2675,MATADI,46530.0,"((13.424014107162384, -5.834595),)"
2678,FUNABASHI,61379.0,"((139.9673908273707, 35.656635),)"
2679,matanzas,,"((-81.54709700258769, 23.061165000000003),)"
2680,PULAU SAMBU,50060.0,"((103.89979162259445, 1.160545),)"
2682,BAHIA DE MATARANI,14860.0,"((-72.10956351544621, -16.99952),)"
2683,samcheok,,"((129.17140968780973, 37.470119999999994),)"
2685,matsushima,,"((129.6034159926695, 32.946039999999996),)"
2686,SAMSUN,44450.0,"((36.398841810211444, 41.282645),)"
2688,fuqing,,"((119.31645259833354, 25.402425),)"
2689,matsuura,,"((129.7044397273854, 33.372305),)"
2690,MATSUYAMA,62030.0,"((132.67711422461986, 33.807995),)"
2691,san antonio,,"((-64.90679754770605, -40.76247),)"
2692,san carlos,,"((-112.11642416049798, 24.783635),)"
2693,fuzhou,,"((119.60745490346845, 26.096565),)"
2695,maui marine terminal,,"((173.28833500000002, -39.608335),)"
2696,san ciprian,,"((-7.46093988, 43.707840000000004),)"
2698,gaeta,,"((13.606572305910767, 41.235335),)"
